Practice_1,Practice_2,Category,A_value,G_value,H_value,Incompatible
AWD,Intermittent irrigation,X,0.0,0.0,0.0,1
AWD,Mid-season drainage,X,0.0,0.0,0.0,1
AWD,Shortened flooding period,X,0.0,0.0,0.0,1
AWD,Controlled irrigation by crop stage,zero_like,0.006094341595088627,-20.79968212480991,112.5676793709686,0
AWD,Aerobic rice cultivation,X,0.0,0.0,0.0,1
AWD,DSR,zero_like,0.01881129432782428,-39.02070377307673,-195.3269260293477,0
AWD,Dry direct seeding,zero_like,0.002556808063345707,-6.324851846871644,-2.520173625643319,0
AWD,Wet direct seeding,zero_like,-0.0170608785514716,17.58795949725657,116.6687903143422,0
AWD,Mechanical transplanting,zero_like,0.001320613951224321,22.54482413936066,70.12640133780684,0
AWD,Reduced puddling,pos,0.08562830148467046,79.21876960206247,608.2234798342002,0
AWD,SSNM,pos,0.1551380120522909,68.75185222534368,763.0275272909479,0
AWD,Split nitrogen application,pos,0.09276281822384234,100.5635334668508,769.0941035862396,0
AWD,LCC-based nitrogen management,pos,0.1028668871134757,61.19666123779426,906.4618371106698,0
AWD,Deep placement of urea briquettes,pos,0.1346177625745631,80.31831528989972,886.1642006015766,0
AWD,No straw burning,zero_like,0.04283295201740923,-8.128300327692312,-76.8364093607306,0
AWD,Off-field use of rice straw,zero_like,-0.01627545456495755,12.31958845150991,169.3458439081337,0
AWD,Rice-straw composting,zero_like,-0.002278949153097501,-16.80312953925056,-123.6721823536859,0
AWD,Timed straw incorporation,strong_pos,0.3125296393912351,209.7301668481377,1962.946280491559,0
AWD,Biochar application,strong_pos,0.2467245146355653,189.2864529226688,1835.005742742218,0
Intermittent irrigation,Mid-season drainage,X,0.0,0.0,0.0,1
Intermittent irrigation,Shortened flooding period,X,0.0,0.0,0.0,1
Intermittent irrigation,Controlled irrigation by crop stage,zero_like,0.004373771934580259,17.4285755589638,33.53933231620234,0
Intermittent irrigation,Aerobic rice cultivation,zero_like,0.0135782712614379,1.351581389777829,43.36790980349762,0
Intermittent irrigation,DSR,zero_like,0.01262576451677081,-29.14311639711333,-47.9506824535952,0
Intermittent irrigation,Dry direct seeding,zero_like,-0.00940745308585591,-12.77755696486684,-41.27133768400256,0
Intermittent irrigation,Wet direct seeding,zero_like,0.02989882622468792,-17.31662231386487,145.2417531887221,0
Intermittent irrigation,Mechanical transplanting,zero_like,-0.0336573954323161,-6.697700599715497,24.41295976575084,0
Intermittent irrigation,Reduced puddling,zero_like,0.01172444662718556,14.2245315958571,119.0020852799888,0
Intermittent irrigation,SSNM,pos,0.1060509971100625,58.44120518338582,971.5951762514308,0
